Abertura,Maxima,Minima,Fechamento,VWAP,Y
4878.5,4879,4878,4878.5,4875.53,4878.5
4878,4880,4877.5,4878.5,4875.53,4878.5
4879,4879,4876,4878,4875.51,4878.5
4879,4880,4877,4879,4875.48,4878
4880,4882.5,4879,4879,4875.45,4879
4879,4881.5,4877.5,4879.5,4875.38,4879
4881.5,4882.5,4877,4879.5,4875.34,4879.5
4876.5,4881.5,4875.5,4881.5,4875.24,4879.5
4877,4878.5,4872.5,4877,4875.18,4881.5
4878,4879,4873.5,4876.5,4875.18,4877
4881.5,4882,4876.5,4878,4875.17,4876.5
4875,4883,4874.5,4881.5,4875.09,4878
4873.5,4875.5,4871,4874.5,4874.93,4881.5
4870.5,4874.5,4869,4873.5,4874.95,4874.5
4870,4876,4869.5,4870.5,4875.01,4873.5
4867.5,4870,4866.5,4870,4875.07,4870.5
4869,4871,4867,4867.5,4875.16,4870
4874,4874.5,4865.5,4869,4875.26,4867.5
4874.5,4875,4873,4874,4875.47,4869
4870,4875,4869.5,4874,4875.5,4874
4869.5,4870,4865.5,4870,4875.62,4874
4869.5,4871,4867,4869,4875.87,4870
4880,4880.5,4868.5,4869,4876.23,4869
4876,4883,4876,4880,4876.51,4869
4890,4892,4873,4876,4876.34,4880
4880.5,4896.5,4879,4890,4875.7,4876
4873.5,4881.5,4868,4880.5,4873.63,4890
4868.5,4876,4867,4873,4873.33,4880.5
4869,4874,4867,4868,4873.48,4873
4865.5,4870,4865,4869,4873.88,4868
4872,4873.5,4865.5,4865.5,4875.24,4869
4877,4885,4868.5,4872,4877.14,4865.5
4880.5,4888,4875.5,4877,4880.99,4872
4885,4886.5,4877,4880.5,4880.38,4877
4882.5,4884.5,4880.5,4881,4897.14,4880.5
4883,4884,4881,4882,4897.37,4881
4883,4884.5,4880.5,4883,4897.5,4882
4885.5,4885.5,4882.5,4883.5,4897.72,4883
4883.5,4886,4883.5,4885,4897.9,4883.5
4883.5,4886,4883,4883.5,4898,4885
4883.5,4886.5,4882,4883.5,4898.15,4883.5
4886,4886.5,4881,4883.5,4898.41,4883.5
4887,4888.5,4884,4886,4898.74,4883.5
4890,4890,4886,4887,4899.08,4886
4889,4891,4886.5,4889.5,4899.21,4887
4889.5,4891,4888,4888.5,4899.37,4889.5
4890,4895.5,4889,4889.5,4899.48,4888.5
4888.5,4893.5,4888,4889.5,4899.69,4889.5
4885.5,4889.5,4885.5,4888.5,4899.89,4889.5
4893.5,4894,4884,4885.5,4900.12,4888.5
4894.5,4895,4890,4893.5,4900.54,4885.5
4900.5,4901,4894,4894.5,4900.77,4893.5
4900,4902.5,4898.5,4900.5,4900.86,4894.5
4897.5,4902.5,4895,4900,4900.86,4900.5
4894,4897.5,4891.5,4897.5,4900.96,4900
4897.5,4898.5,4891.5,4894,4901.15,4897.5
4897,4900.5,4894.5,4898,4901.42,4894
4903.5,4904,4895.5,4897,4901.56,4898
4902,4907,4901.5,4903.5,4901.72,4897
4912,4913,4901,4902.5,4901.62,4903.5
4913.5,4914.5,4908.5,4912.5,4901.26,4902.5
4911.5,4914,4905,4913,4900.83,4912.5
4914.5,4919.5,4909.5,4912,4899.97,4913
4889.5,4915.5,4886,4914.5,4897.86,4912
4896.5,4899.5,4883,4889,4896.85,4914.5
4897,4905,4893,4897,4897.68,4889
4898.5,4905,4897,4897,4897.49,4897
4906.5,4907,4893,4898.5,4896.67,4897
4889.5,4908.5,4887,4907,4895.83,4898.5
4901.5,4905,4887.5,4889,4896.26,4907
4899,4904,4897.5,4898,4909.99,4889
4897,4899,4896,4899,4910.13,4898
4896.5,4898,4895,4897,4910.26,4899
4896.5,4897.5,4894.5,4896.5,4910.37,4897
4895.5,4897.5,4894.5,4897,4910.52,4896.5
4895.5,4897.5,4893.5,4895.5,4910.66,4897
4893,4896,4892.5,4895.5,4910.83,4895.5
4892,4894.5,4891.5,4893,4910.99,4895.5
4895,4896,4889,4892,4911.15,4893
4892.5,4897,4891,4894.5,4911.52,4892
4893,4895,4888.5,4892.5,4911.79,4894.5
