Data,Abertura,Maxima,Minima,Fechamento,VWAP D,HiLo
15/06/2023 11:30,4822.5,4825.5,4822.5,4824.5,4837.76,4822.76
15/06/2023 11:25,4823,4825.5,4820.5,4822.5,4838.08,4824.53
15/06/2023 11:20,4830,4831,4822.5,4823.5,4838.54,4827.35
15/06/2023 11:15,4827.5,4831.5,4827.5,4830,4838.86,4829.79
15/06/2023 11:10,4829.5,4830,4821.5,4827,4839.16,4831.21
15/06/2023 11:05,4837,4837,4830,4830,4840.26,4832.65
15/06/2023 11:00,4833,4838.5,4832.5,4837,4840.62,4832.79
15/06/2023 10:55,4831,4834.5,4831,4833.5,4841,4831.79
15/06/2023 10:50,4830,4832.5,4829.5,4831.5,4841.33,4831.83
15/06/2023 10:45,4836.5,4837.5,4828.5,4830,4841.8,4831.98
15/06/2023 10:40,4838.5,4840,4833.5,4837,4842.46,4831.94
15/06/2023 10:35,4834,4838.5,4832.5,4838.5,4842.7,4831.6
15/06/2023 10:30,4828.5,4834.5,4826.5,4834.5,4843.07,4833.51
15/06/2023 10:25,4834,4834,4823.5,4829,4843.73,4838.59
15/06/2023 10:20,4846.5,4847,4831.5,4833.5,4845.62,4844.54
15/06/2023 10:15,4849,4850,4845,4847,4846.72,4847.6
15/06/2023 10:10,4849.5,4851.5,4844.5,4850,4846.69,4846.92
15/06/2023 10:05,4846,4850,4844.5,4849.5,4846.59,4846.23
15/06/2023 10:00,4846,4847.5,4842.5,4846.5,4846.56,4847.05
15/06/2023 09:55,4846,4848.5,4841.5,4846,4846.77,4849.59
15/06/2023 09:50,4849,4852.5,4845.5,4846,4847.13,4852.36
15/06/2023 09:45,4853,4856.5,4847.5,4849,4846.92,4854.51
15/06/2023 09:40,4857.5,4857.5,4847.5,4853,4846.32,4854.62
15/06/2023 09:35,4848.5,4858.5,4847,4857.5,4845.36,4852.87
15/06/2023 09:30,4849,4854.5,4842.5,4847.5,4844.22,4850.89
15/06/2023 09:25,4851,4854.5,4845.5,4848,4843.82,4850.51
15/06/2023 09:20,4840.5,4851,4840.5,4851,4842.58,4849.1
15/06/2023 09:15,4843,4845,4838.5,4840.5,4841.92,4846.52
15/06/2023 09:10,4843,4847.5,4841,4843,4841.99,4843.71
15/06/2023 09:05,4839,4851.5,4838.5,4844,4841.34,4837.88
15/06/2023 09:00,4838,4842,4834,4838.5,4837.99,4830.61
14/06/2023 17:55,4824,4833,4822.5,4833,4854.14,4824.55
14/06/2023 17:50,4820,4824,4819.5,4824,4854.24,4820.49
14/06/2023 17:45,4817,4820,4816.5,4819.5,4854.61,4818.91
14/06/2023 17:40,4818,4819,4817,4817,4854.71,4817.96
14/06/2023 17:35,4818,4819,4817,4818.5,4855.05,4816.77
14/06/2023 17:30,4819.5,4820,4817.5,4818.5,4855.1,4814.45
14/06/2023 17:25,4813.5,4820,4813,4819.5,4855.26,4812.34
14/06/2023 17:20,4816,4817.5,4812.5,4813.5,4855.53,4811.38
14/06/2023 17:15,4812.5,4816.5,4812,4815.5,4856.09,4812.91
14/06/2023 17:10,4816,4817.5,4812,4812.5,4856.43,4815.36
14/06/2023 17:05,4821,4821.5,4816,4816,4856.9,4818.82
14/06/2023 17:00,4825,4825.5,4812,4821.5,4857.23,4821.47
14/06/2023 16:55,4826,4829,4824.5,4825,4858.04,4822.97
14/06/2023 16:50,4828,4830,4826,4826.5,4858.25,4824.61
14/06/2023 16:45,4833,4833,4824,4828,4858.74,4827.42
14/06/2023 16:40,4833,4835,4829,4833.5,4859.6,4832.25
14/06/2023 16:35,4835,4835,4832,4833,4859.92,4838.47
14/06/2023 16:30,4839,4844.5,4832,4834.5,4860.28,4846.59
14/06/2023 16:25,4857.5,4858,4828.5,4838.5,4860.67,4853.52
14/06/2023 16:20,4858.5,4859.5,4855.5,4858,4862.19,4856.54
14/06/2023 16:15,4856.5,4859.5,4856.5,4858.5,4862.23,4853.87
14/06/2023 16:10,4853.5,4856.5,4852.5,4856.5,4862.25,4850.87
14/06/2023 16:05,4855,4855,4852.5,4853,4862.3,4848.56
14/06/2023 16:00,4852.5,4855.5,4851.5,4854,4862.41,4847.91
14/06/2023 15:55,4853.5,4854,4848.5,4852.5,4862.46,4849.3
14/06/2023 15:50,4852.5,4857.5,4850.5,4853.5,4862.71,4854.09
14/06/2023 15:45,4855.5,4860.5,4852.5,4852.5,4862.9,4861.54
14/06/2023 15:40,4864,4866,4855,4855.5,4863.11,4870.55
14/06/2023 15:35,4878.5,4878.5,4859,4864,4863.23,4877.63
14/06/2023 15:30,4878.5,4882,4874.5,4879,4863.15,4880.25
14/06/2023 15:25,4876,4880,4875.5,4878.5,4862.84,4878.42
14/06/2023 15:20,4874.5,4876.5,4868,4875.5,4862.62,4875.54
14/06/2023 15:15,4868.5,4877.5,4866,4874.5,4862.26,4871.72
14/06/2023 15:10,4871,4875,4864.5,4868.5,4862.08,4867.16
14/06/2023 15:05,4868.5,4883,4868.5,4871,4861.88,4862.49
14/06/2023 15:00,4853,4871,4852.5,4868.5,4861.1,4857.89
14/06/2023 14:55,4856.5,4859,4852.5,4852.5,4860.9,4855.86
14/06/2023 14:50,4856.5,4859,4856.5,4856.5,4861.01,4857.46
14/06/2023 14:45,4857.5,4858,4855,4857,4861.03,4858.17
14/06/2023 14:40,4858.5,4859,4858,4858,4861.08,4858.68
14/06/2023 14:35,4857.5,4859.5,4856.5,4858.5,4861.09,4858.85
14/06/2023 14:30,4858.5,4859.5,4857,4857.5,4861.12,4858.8
14/06/2023 14:25,4859.5,4860.5,4858,4858.5,4861.13,4858.63
14/06/2023 14:20,4857.5,4860,4856.5,4859.5,4861.2,4858.1
14/06/2023 14:15,4856.5,4858,4856,4857.5,4861.23,4857.47
14/06/2023 14:10,4855.5,4856.5,4854,4856,4861.29,4857.37
14/06/2023 14:05,4858,4858.5,4855,4855.5,4861.32,4857.18
14/06/2023 14:00,4856.5,4858.5,4856,4858,4861.4,4856.36
14/06/2023 13:55,4854.5,4857.5,4854.5,4856,4861.45,4854.66
14/06/2023 13:50,4853.5,4856.5,4853,4854.5,4861.53,4853.16
14/06/2023 13:45,4852.5,4854,4852.5,4853.5,4861.66,4851.62
14/06/2023 13:40,4851.5,4853,4850,4852.5,4861.71,4850.14
14/06/2023 13:35,4852,4853.5,4851.5,4851.5,4861.86,4849.03
14/06/2023 13:30,4850.5,4853.5,4850.5,4852,4861.92,4848.84
14/06/2023 13:25,4849,4850,4848,4850,4862.04,4849.69
14/06/2023 13:20,4849.5,4849.5,4847,4849,4862.16,4852.11
14/06/2023 13:15,4855.5,4855.5,4848.5,4849,4862.49,4854.96
14/06/2023 13:10,4856.5,4857,4856,4856,4862.99,4856.97
14/06/2023 13:05,4858.5,4860,4856.5,4857,4863.07,4857.06
14/06/2023 13:00,4858,4859.5,4857.5,4858,4863.11,4856.85
14/06/2023 12:55,4855.5,4859,4855.5,4858,4863.23,4856.75
14/06/2023 12:50,4855,4857.5,4855,4856,4863.35,4857.16
14/06/2023 12:45,4857,4857,4853.5,4855.5,4863.41,4858.08
14/06/2023 12:40,4860,4860.5,4855,4857,4863.57,4858.62
14/06/2023 12:35,4859.5,4860,4858,4859.5,4863.69,4858.14
14/06/2023 12:30,4857.5,4859.5,4857,4859,4863.78,4856.99
14/06/2023 12:25,4856.5,4858,4855.5,4857,4863.84,4856.1
14/06/2023 12:20,4855.5,4856.5,4854.5,4856.5,4864.01,4855.79
14/06/2023 12:15,4856.5,4857,4854.5,4855.5,4864.12,4855.67
14/06/2023 12:10,4856.5,4857,4855.5,4856.5,4864.26,4855.89
14/06/2023 12:05,4856.5,4856.5,4854.5,4856.5,4864.47,4856.03
14/06/2023 12:00,4855,4857,4854.5,4857,4864.57,4856.59
