Data,Abertura,Maxima,Minima,VWAP D,Fechamento
5/4/2021 14:15,6646.88,6649.22,6632.25,6630.47,6636.93
5/4/2021 14:30,6636.35,6652.14,6635.18,6630.88,6650.39
5/4/2021 14:45,6650.39,6652.73,6632.84,6631.24,6635.18
5/4/2021 15:00,6635.18,6646.88,6635.18,6631.58,6643.37
5/4/2021 15:15,6642.78,6646.88,6635.76,6631.81,6645.71
5/4/2021 15:30,6646.29,6655.66,6644.54,6632.42,6647.46
5/4/2021 15:45,6646.88,6648.05,6636.35,6632.72,6645.12
5/4/2021 16:00,6645.71,6659.75,6640.44,6633.28,6655.07
5/4/2021 16:15,6655.07,6656.24,6647.46,6633.81,6649.22
5/4/2021 16:30,6649.22,6653.9,6644.54,6634.13,6650.97
5/4/2021 16:45,6650.97,6657.41,6642.78,6634.49,6655.66
5/4/2021 17:00,6655.66,6658,6651.56,6634.71,6651.56
5/4/2021 17:15,6651.56,6653.9,6642.2,6634.85,6646.88
5/4/2021 17:30,6646.29,6653.31,6643.95,6634.94,6651.56
5/4/2021 17:45,6652.14,6653.9,6637.52,6635.04,6637.52
6/4/2021 9:00,6641.03,6645.12,6608.85,6623.11,6611.77
6/4/2021 9:15,6611.19,6622.89,6601.82,6617.23,6614.11
6/4/2021 9:30,6614.11,6628.74,6611.19,6618.13,6626.98
6/4/2021 9:45,6626.4,6634.59,6618.21,6620.02,6618.79
6/4/2021 10:00,6618.79,6628.15,6613.53,6620.01,6622.3
6/4/2021 10:15,6622.89,6625.81,6609.43,6619.58,6612.94
6/4/2021 10:30,6612.94,6621.13,6607.68,6618.85,6610.02
6/4/2021 10:45,6610.6,6617.04,6605.34,6618.04,6607.09
6/4/2021 11:00,6606.51,6613.53,6591.29,6616.39,6596.56
6/4/2021 11:15,6595.97,6597.73,6580.76,6613.07,6590.71
6/4/2021 11:30,6591.29,6594.8,6582.52,6611.58,6586.03
6/4/2021 11:45,6586.03,6592.46,6574.32,6609.32,6579.59
6/4/2021 12:00,6579.59,6587.2,6579.01,6608.2,6581.35
6/4/2021 12:15,6580.76,6587.78,6573.15,6606.85,6579.01
6/4/2021 12:30,6579.59,6583.69,6577.25,6606.24,6581.93
6/4/2021 12:45,6582.52,6583.1,6576.66,6605.82,6580.18
6/4/2021 13:00,6580.76,6580.76,6562.62,6603.66,6571.98
6/4/2021 13:15,6571.98,6572.57,6557.94,6602.23,6560.87
6/4/2021 13:30,6560.87,6568.47,6559.11,6601.39,6566.13
6/4/2021 13:45,6565.55,6577.84,6565.55,6600.54,6576.08
6/4/2021 14:00,6575.49,6588.37,6575.49,6599.84,6584.86
6/4/2021 14:15,6585.44,6595.97,6578.42,6599.36,6593.63
6/4/2021 14:30,6593.63,6595.97,6576.08,6598.81,6577.84
6/4/2021 14:45,6577.25,6580.18,6569.64,6598.11,6572.57
6/4/2021 15:00,6573.15,6573.74,6533.37,6594.3,6557.36
6/4/2021 15:15,6557.36,6558.53,6550.92,6593.6,6555.6
6/4/2021 15:30,6555.02,6562.62,6553.85,6593.05,6558.53
6/4/2021 15:45,6558.53,6564.96,6557.94,6592.07,6564.38
6/4/2021 16:00,6564.38,6570.23,6556.77,6591.17,6564.38
6/4/2021 16:15,6564.96,6566.13,6560.28,6590.77,6560.87
6/4/2021 16:30,6561.45,6562.04,6550.33,6590.08,6559.11
6/4/2021 16:45,6559.7,6570.81,6555.6,6589.54,6563.79
6/4/2021 17:00,6563.79,6564.38,6551.51,6589.07,6555.6
