Data,Abertura,Maxima,Minima,Fechamento,VWAP D
21/09/2022 13:05,5458.4,5460.5,5457.35,5457.87,5436.65
21/09/2022 13:10,5458.4,5458.4,5454.19,5454.19,5436.79
21/09/2022 13:15,5455.24,5458.92,5453.67,5457.35,5436.88
21/09/2022 13:20,5458.4,5458.4,5455.77,5456.29,5437.05
21/09/2022 13:25,5456.82,5457.35,5455.77,5456.29,5437.06
21/09/2022 13:30,5455.77,5458.92,5455.77,5456.82,5437.11
21/09/2022 13:35,5457.35,5461.55,5455.77,5459.45,5437.59
21/09/2022 13:40,5458.92,5463.13,5457.87,5461.55,5438.19
21/09/2022 13:45,5461.55,5463.13,5460.5,5461.55,5438.34
21/09/2022 13:50,5461.55,5461.55,5459.97,5461.55,5438.47
21/09/2022 13:55,5461.55,5464.18,5458.4,5459.45,5438.69
21/09/2022 14:00,5458.92,5462.07,5456.29,5457.35,5438.81
21/09/2022 14:05,5457.35,5458.92,5456.82,5458.92,5438.93
21/09/2022 14:10,5458.92,5461.02,5458.4,5459.97,5439.08
21/09/2022 14:15,5460.5,5463.13,5459.97,5462.6,5439.26
21/09/2022 14:20,5462.6,5463.13,5456.29,5456.82,5439.55
21/09/2022 14:25,5456.82,5458.92,5453.67,5457.87,5439.65
21/09/2022 14:30,5457.87,5460.5,5456.29,5459.97,5439.74
21/09/2022 14:35,5459.97,5465.75,5459.45,5463.13,5439.86
21/09/2022 14:40,5462.6,5463.13,5458.4,5459.45,5440.02
21/09/2022 14:45,5458.4,5461.02,5457.35,5459.45,5440.14
21/09/2022 14:50,5459.45,5464.18,5458.4,5459.45,5440.3
21/09/2022 14:55,5459.45,5459.45,5435.28,5453.67,5440.47
21/09/2022 15:00,5453.67,5469.43,5445.79,5459.97,5441.89
21/09/2022 15:05,5459.97,5466.28,5440.53,5444.21,5442.22
21/09/2022 15:10,5445.26,5461.02,5440.53,5458.92,5442.39
21/09/2022 15:15,5458.92,5458.92,5439.48,5441.06,5442.45
